Longitude:137.615433,Longitude:137.615433,Longitude:137.615433,Longitude:137.615433,Longitude:137.615433,Longitude:137.615433,Longitude:137.615433,Longitude:137.615433
Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673
Temperature,Speed,Direction,Pressure,Temperature,Speed,Direction,Pressure
C,m/s,degrees,atm,C,m/s,degrees,atm
26.8,8.119,137.9,0.9862324204293116,26.8,5.832487483884087,137.9,0.9862324204293116
28.9,8.062,142.1,0.9863311127559832,28.9,5.791540102854231,142.1,0.9863311127559832
30.2,8.078,144.2,0.9861337281026401,30.2,5.803034104546822,144.2,0.9861337281026401
30.9,7.794,150.1,0.9857389587959535,30.9,5.599015574503334,150.1,0.9857389587959535
31.5,7.628,162.1,0.9852454971625956,31.5,5.479765306942704,162.1,0.9852454971625956
31.8,7.106,162.0,0.984653343202566,31.8,5.104773501721926,162.0,0.984653343202566
32.0,7.227,163.1,0.9839624969158648,32.0,5.191696889522145,163.1,0.9839624969158648
32.1,7.718,163.7,0.9832716506291636,32.1,5.544419066463528,163.7,0.9832716506291636
31.9,8.262,168.5,0.9828768813224772,31.9,5.935215124011618,168.5,0.9828768813224772
31.4,9.09,174.5,0.982679496669134,31.4,6.530029711603196,174.5,0.982679496669134
31.0,10.375,180.4,0.9825808043424624,31.0,7.453141722539402,180.4,0.9825808043424624
30.5,11.343,185.4,0.9824821120157907,30.5,8.148528824941149,185.4,0.9824821120157907
29.9,12.757,188.8,0.9825808043424624,29.9,9.16431122452387,188.8,0.9825808043424624
29.3,12.983,185.2,0.982679496669134,29.3,9.326663998431716,185.2,0.982679496669134
28.7,12.561,178.1,0.982679496669134,28.7,9.023509703789632,178.1,0.982679496669134
28.1,11.561,169.9,0.9825808043424624,28.1,8.3051345980027,169.9,0.9825808043424624
27.5,10.149,162.2,0.9824821120157907,27.5,7.290788948631555,162.2,0.9824821120157907
27.3,10.237,165.8,0.9824821120157907,27.3,7.354005957940806,165.8,0.9824821120157907
27.3,10.481,168.9,0.9824821120157907,27.3,7.529289483752815,168.9,0.9824821120157907
27.3,10.839,170.2,0.9824821120157907,27.3,7.786467771624537,170.2,0.9824821120157907
27.2,10.818,171.5,0.9827781889958055,27.2,7.771381894403011,171.5,0.9827781889958055
27.1,10.724,169.1,0.9831729583024921,27.1,7.703854634459041,169.1,0.9831729583024921
26.9,9.985,163.2,0.98366641993585,26.9,7.172975431282499,163.2,0.98366641993585
27.8,8.928,161.1,0.9837651122625215,27.8,6.4136529444657135,161.1,0.9837651122625215
29.5,7.516,159.9,0.9837651122625215,29.5,5.399307295094568,159.9,0.9837651122625215
31.2,5.661,170.3,0.98366641993585,31.2,4.066721473859811,170.3,0.98366641993585
32.0,5.219,169.3,0.9832716506291636,32.0,3.7491996771019895,169.3,0.9832716506291636
32.2,5.479,166.8,0.982679496669134,32.2,3.935977204606591,166.8,0.982679496669134
32.3,5.105,167.4,0.9820873427091044,32.3,3.6673049150422794,167.4,0.9820873427091044
32.6,5.161,160.9,0.9814951887490747,32.6,3.7075339209663465,160.9,0.9814951887490747
33.0,5.638,168.9,0.9810017271157168,33.0,4.050198846426713,168.9,0.9810017271157168
33.5,6.197,171.9,0.9804095731556871,33.5,4.451770530561607,171.9,0.9804095731556871
33.7,6.975,172.3,0.9800148038490007,33.7,5.010666362863839,172.3,0.9800148038490007
33.7,6.993,171.3,0.9798174191956575,33.7,5.023597114768004,171.3,0.9798174191956575
33.7,7.788,176.9,0.9795213422156427,33.7,5.594705323868613,176.9,0.9795213422156427
33.4,8.244,179.9,0.979718726868986,33.4,5.922284372107454,179.9,0.979718726868986
32.8,9.416,184.4,0.9803108808290155,32.8,6.764219996089737,184.4,0.9803108808290155
32.2,11.271,183.8,0.9809030347890452,32.2,8.096805817324492,183.8,0.9809030347890452
